# Index   sigma           rh                Mvir_rh            Mvirl           rp                vdiff_mean   d_mean          rs              
  1       16.661771827    0.377184289289    3.44047969739E11   104.78326768    0.437023046344    34.47608     0.492515428     0.464532105289  
  2       63.5012014148   0.179142787942    2.37348368983E12   979.571625342   0.29204699345     74.948       1.0706857145    1.4310875835    
  3       66.4670408051   0.11847342081     1.71971569601E12   1041.61815847   0.213690279397    71.95008     1.027858286     1.45060298449   
  4       45.8157858952   0.341225219914    2.35339291893E12   655.399348947   0.346132836803    52.4636      0.74948         1.07185143662   
  5       20.0360363655   0.202704789682    2.67368766293E11   70.773180744    0.287312765263    23.98336     0.3426194285    0.642651738462  
  6       28.99711764     0.054619995948    1.50898305673E11   132.729709616   0.137101135974    61.45736     0.8779622855    0.601619691934  
  7       61.6014000926   0.338783158857    4.22402050808E12   1236.50782633   0.361417118803    119.9168     1.713097143     1.50167952478   
  8       33.7700603437   0.373312105137    1.39881018223E12   418.08413349    0.440829694825    46.46776     0.663825143     0.796820640996  
  9       49.5035180536   0.109418405368    8.81019554751E11   574.786801905   0.125794147985    103.42824    1.477546286     1.09828528432   
  10      83.655756579    0.126058709131    2.89859512226E12   1488.82923306   0.231181862928    101.92928    1.4561325715    1.94246652686   
  11      14.7545861168   0.118441501862    8.4719036446E10    60.9212282091   0.131987990046    25.48232     0.364033142     0.354552610593  
  12      49.2202916779   0.126701179853    1.00853753004E12   657.696502045   0.142561509007    58.45944     0.835134857     1.13966298803   
  13      9.89263128811   0.296526721928    9.53477657158E10   36.6635430325   0.326793830145    11.99168     0.171309714     0.318458381798  
  14      59.9750527984   0.117071870272    1.38362013452E12   758.954890559   0.220246381074    109.42408    1.5632011425    1.43701859382   
  15      25.9435099918   0.202964687194    4.48849751075E11   208.09335652    0.226563948087    43.46984     0.6209977145    0.617017192695  
  16      18.5343775737   0.144383717876    1.62966099702E11   84.9399657421   0.246715151314    23.98336     0.3426194286    0.410242054543  
  17      97.4311188302   0.069621984104    2.17152490228E12   2601.8913166    0.0964754747483   118.41784    1.6916834285    2.25990498133   
  18      47.7371629194   0.119639751699    8.95801430097E11   430.506151478   0.160467605979    53.96256     0.7708937145    1.07432906054   
  19      56.8990859777   0.0370328000796   3.93931009956E11   568.653403975   0.0879896293826   118.41784    1.6916834285    1.2564205491    
  20      31.1873348476   0.299804755256    9.58115976869E11   321.598418644   0.302428067229    37.474       0.535342857     0.745530246191  
  21      19.785262574    0.159281656196    2.04867203004E11   98.7696195222   0.260098819208    38.97296     0.556756571     0.464140428755  
  22      22.6117286556   0.215004464432    3.61191937266E11   146.979665637   0.230949483882    23.98336     0.3426194286    0.527162425769  
  23      50.0052896241   0.258159438246    2.12101109472E12   670.956552343   0.285971475692    56.96048     0.813721143     1.20450124662   
  24      55.079839933    0.12560293822     1.252011093E12     699.816326485   0.197599522732    67.4532      0.9636171425    1.32206782595   
  25      56.4586157679   0.155084626886    1.62424762552E12   608.305459911   0.206339774878    65.95424     0.94220342855   1.28857432332   
  26      76.719162013    0.323539781931    6.25688868053E12   1974.99822826   0.325227110985    92.93552     1.3276502855    1.7983108734    
  27      86.0680967175   0.440562359702    1.07229634815E13   2794.66858882   0.469511061098    100.43032    1.4347188575    1.95908836388   
  28      57.5621458518   0.293099427923    3.19089093939E12   792.832535551   0.331637294745    107.92512    1.5417874285    1.40436145101   
  29      77.766350421    0.15574448692     3.09470429156E12   1444.32683483   0.268500761665    83.94176     1.199168        1.60843000428   
  30      31.8212885881   0.0720559002807   2.39733161124E11   360.419096807   0.0764124666355   34.47608     0.4925154285    0.674706398932  
  31      36.744059065    0.412350645877    1.82921173598E12   467.276529894   0.417500080155    38.97296     0.5567565715    0.899521538451  
  32      20.8182226738   0.166457746489    2.3703602124E11    94.9325748091   0.199760148589    28.48024     0.40686057145   0.537367753257  
  33      26.9627679705   0.0772196188603   1.84450416983E11   186.595792795   0.106919209536    47.96672     0.68523885715   0.649457750941  
  34      29.7786679832   0.323173308396    9.41605655565E11   314.033097233   0.398058294509    32.97712     0.471101714     0.795669271294  
